Date,Unempl
33419.00,1.8
33785.00,2.8
34150.00,3.7
34515.00,3.9
34880.00,3.3
35246.00,3.7
35611.00,4.1
35976.00,3.6
36341.00,3.1
36707.00,2.7
37072.00,2.5
37437.00,2.9
37802.00,4.1
38168.00,4.3
38533.00,4.4
38898.00,4
39263.00,3.6
39629.00,3.4
39994.00,4.1
40268.00,5.1
40359.00,4.2
40451.00,4.6
40543.00,4.2
40633.00,4.4
40724.00,3.6
40816.00,4.2
40908.00,4
40999.00,4.3
41090.00,3.7
41182.00,4.3
41274.00,4.4
41364.00,4.6
41455.00,4.2
41547.00,4.7
41639.00,4.1
41729.00,4.8
41820.00,4.4
41912.00,4.8
42004.00,4.1
42094.00,4.4
