Swiss national bank,,,,,,
Monthly Statistical Bulletin July 2015,,,,,,
Interest rates and yields,,,,,,
"E3_b Interest rates on new loan agreements, by product and maturity",,,,,,
Mortgages with fixed interest rates:Maturity of over 10 years up to 15 years (monthly),,,,,,
,,,,,,
"Note: In order to fully understand the values in this file, it is",,,,,,
necessary to consult the corresponding publication document.,,,,,,
The available file does not contain any information about,,,,,,
"indices, footnotes etc..",,,,,,
A link to the appropriate PDF file can be found on the same web page,,,,,,
as the link to this file.,,,,,,
"For copyright reasons, the downloading of data series is restricted.",,,,,,
"In blocked time series, ""x"" is shown instead of the data.",,,,,,
,,,,,,
Legend:,"M (missing) describes a ""."" in the publication;",,,,,
,"Z (zero) describes a ""-"" in the publication.",,,,,
,,,,,,
,Mean value in %,25% quantile in %,Median in %,75% quantile in %,Number of loan agreements,
,,,,,,
2009 05,3.210675676,3,3.2,3.3625,37,
2009 06,3.554146342,3.3575,3.61,3.75,41,
2009 07,3.446206897,3.26,3.48,3.6,29,
2009 08,3.417692308,3.2,3.325,3.65,26,
2009 09,3.263333333,3,3.3,3.48,30,
2009 10,3.323478261,3.1125,3.25,3.4375,23,
2009 11,3.2448,3,3.25,3.35,29,
2009 12,3.2745,3.1,3.24,3.4,48,
2010 01,3.2048,2.9875,3.2,3.35,21,
2010 02,3.2733,3.01,3.19,3.45,32,
2010 03,3.1616,2.95,3.105,3.4,46,
2010 04,3.0843,2.935,3.055,3.25,44,
2010 05,3.0469,2.9,3.05,3.2625,33,
2010 06,2.8583,2.75,2.85,2.965,75,
2010 07,2.7873,2.625,2.795,2.9,84,
2010 08,2.7475,2.55,2.65,2.8,118,
2010 09,2.6891,2.5,2.65,2.85,138,
2010 10,2.6879,2.5,2.7,2.85,123,
2010 11,2.7174,2.56,2.75,2.85,111,
2010 12,2.8445,2.65,2.8,3,123,
2011 01,2.9708,2.75,2.95,3.15,78,
2011 02,3.0515,2.85,3,3.25,67,
2011 03,2.9981,2.85,3,3.15,89,
2011 04,3.1543,2.95,3.145,3.365,60,
2011 05,3.1504,3,3.2,3.3075,51,
2011 06,3.0006,2.7275,3,3.2125,65,
2011 07,3.0033,2.8,2.98,3.1525,49,
2011 08,2.7163,2.45,2.65,2.9525,63,
2011 09,2.6014,2.35,2.6,2.81,96,
2011 10,2.5143,2.2625,2.45,2.6785,79,
2011 11,2.5026,2.25,2.525,2.7,70,
2011 12,2.3751,2.15,2.4,2.53,158,
2012 01,2.3688,2.15,2.35,2.55,99,
2012 02,2.2063,1.95,2.2,2.4,98,
2012 03,2.1825,1.9,2.11,2.35,97,
2012 04,2.1621,1.95,2.1,2.3225,95,
2012 05,2.149,1.95,2.125,2.3,114,
2012 06,2.0108,1.85,2,2.1775,139,
2012 07,2.1056,1.8775,2,2.25,131,
2012 08,2.0817,1.9,2,2.1975,95,
2012 09,2.0554,1.895,2,2.2,112,
2012 10,2.0768,1.85,2,2.25,122,
2012 11,2.0896,1.9,2,2.295,135,
2012 12,1.9809,1.85,1.99,2.1,215,
2013 01,2.087,1.9,2,2.25,159,
2013 02,2.1652,1.975,2.125,2.3,124,
2013 03,2.2673,2.08,2.25,2.4125,141,
2013 04,2.2098,2.02,2.2,2.35,99,
2013 05,2.2509,2.05,2.2,2.43,94,
2013 06,2.3371,2.095,2.3,2.5,97,
2013 07,2.391,2.195,2.4,2.515,80,
2013 08,2.5486,2.4,2.51,2.7,58,
2013 09,2.4696,2.25,2.5,2.7,57,
2013 10,2.5332,2.3025,2.6,2.77,57,
2013 11,2.6123,2.48,2.6,2.8,56,
2013 12,2.5241,2.32,2.55,2.7,92,
2014 01,2.5586,2.3475,2.6,2.75,71,
2014 02,2.4509,2.368,2.5,2.605,60,
2014 03,2.5625,2.4,2.505,2.775,68,
2014 04,2.4072,2.295,2.47,2.55,45,
2014 05,2.3291,2.15,2.29,2.53,46,
2014 06,2.3395,2.135,2.26,2.5075,63,
2014 07,2.2058,2.04,2.2,2.35,58,
2014 08,2.1234,1.95,2.1,2.35,58,
2014 09,2.1003,1.9,2,2.19,86,
2014 10,2.0383,1.88,2,2.2,78,
2014 11,1.9508,1.75,1.9,2.04,71,
2014 12,1.9058,1.7193,1.85,2,195,
2015 01,1.6276,1.3,1.595,1.855,240,
2015 02,1.4768,1.1643,1.55,1.77,189,
2015 03,1.5627,1.2762,1.6,1.8275,167,
2015 04,1.5882,1.3462,1.69,1.85,129,
