Date,Kanton Zuerich,Bezirk Affoltern,Bezirk Andelfingen,Bezirk Buelach,Bezirk Dielsdorf,Bezirk Dietikon,Bezirk Hinwil,Bezirk Horgen,Bezirk Meilen,Bezirk Pfaeffikon,Bezirk Uster,Bezirk Winterthur,Bezirk Zuerich
22281,952304,18382,19727,55511,23539,40826,48485,71829,60805,25302,42237,105491,440170
23011,1002128,19509,20422,63097,27777,47009,51048,77462,66109,27306,49273,112332,440784
23376,1019102,20326,20753,65963,28921,49576,51811,79863,68182,27974,51981,113769,439983
23742,1031393,20741,19379,68296,29995,51221,53085,82142,69451,28236,54437,115596,438814
24107,1039199,21268,19485,70289,30749,52519,54419,83767,70583,28763,55621,116426,435310
24472,1051007,21569,19676,73570,31351,53892,54706,85321,71392,29869,58091,118336,433234
24837,1066152,22059,19624,76701,32294,55982,55718,87496,72008,31007,60992,119724,432547
25203,1085336,22720,19775,79235,33894,58435,56777,89801,72509,32839,65290,121693,432368
25568,1099393,23270,19844,82064,35168,60323,57592,92429,73570,34684,69617,123234,427598
25933,1107788,24131,20112,84046,37654,62476,57910,92346,74291,36593,73019,122570,422640
26298,1103267,24024,19302,85434,38329,62835,58668,94073,73526,36826,74844,123237,412169
26664,1113398,24995,19604,87918,39723,64083,59873,96207,74605,38154,76816,123773,407647
27029,1120481,25762,19841,89050,42633,66012,60794,97627,75140,39030,79432,123583,401577
27394,1123483,26469,20173,88556,44639,67397,61140,99555,75816,39238,81032,123207,396261
27759,1114662,26222,20254,88195,45107,67100,60974,99571,75965,38766,81099,121796,389613
28125,1106518,26141,20174,88017,45998,66534,60659,99670,75981,38376,81388,120581,382999
28490,1106521,26736,20322,87979,46840,66540,60882,100017,76608,38286,82954,119722,379635
28855,1100302,27637,20543,88278,48288,66811,61316,100743,77706,38692,84125,119868,366295
29220,1105406,28302,20736,89065,49189,67114,61981,101375,78249,39568,84899,120349,364579
29586,1109998,29273,20875,90304,50117,67412,62785,101387,78905,40145,86703,120651,361441
29951,1113390,30142,20995,91463,50822,67504,63689,101628,79242,40589,87392,120906,359018
30316,1117809,30865,21038,92034,52029,68106,64515,101658,79277,41353,88275,121402,357257
30681,1119042,31616,21172,92341,53106,67709,65468,101578,79583,41604,88922,120967,354976
31047,1120321,32146,21407,93267,53713,67534,66100,101639,79576,41982,89565,121007,352385
31412,1122778,32382,21585,94796,53916,67592,66571,101723,79346,42271,90400,121292,350904
31777,1127674,32591,21777,95903,54315,67792,67184,101705,79401,42921,91422,122206,350457
32142,1133362,33192,22010,97115,55116,68497,67967,102333,79612,43566,92558,123580,347816
32508,1140100,33733,22258,97748,56220,69039,68743,102517,80021,43877,93543,124260,348141
32873,1145522,34343,22468,98554,57202,69444,69627,102711,79913,44823,94671,125088,346678
33238,1154681,35090,22896,99694,58207,70024,70625,103135,80085,45709,95080,126502,347634
33603,1166039,35793,23191,101105,59185,70606,71284,103261,80719,46259,95759,128062,350815
33969,1158664,36531,23544,100736,59337,70037,71873,102922,80218,46440,95650,127272,344104
34334,1162120,37088,23994,101068,60030,69861,72312,103330,80117,46792,96786,128224,342518
34699,1167087,37856,24222,101836,60758,70063,72674,103310,80444,47134,96801,129195,342794
35064,1172970,38573,24569,102649,61890,69643,73426,103352,80907,47606,98239,130093,342023
35430,1176347,39214,24765,103531,62763,69816,74055,103315,81621,48136,99250,130734,339147
35795,1178394,39489,25116,104292,63452,70013,74484,103376,82151,48393,100482,131203,335943
36160,1184002,39921,25346,105301,64557,70794,75019,103919,82779,48607,101929,131982,333848
36525,1193789,40701,25852,106477,66191,71010,75692,104577,84318,49196,103293,132996,333486
36891,1206708,41324,26194,108429,67858,72051,76373,105539,85780,49652,104868,134342,334298
37256,1223101,42226,26478,110500,69194,73137,77678,106791,87354,50439,106553,135995,336756
37621,1237920,42691,26806,113148,69813,73692,78829,107532,89093,51074,107776,137552,339914
37986,1245683,42956,27217,115019,70644,73649,79528,107816,90188,51405,107942,138917,340402
38352,1255645,43398,27640,116345,71692,73965,80062,108121,90696,51749,109120,140724,342133
38717,1264141,43926,27756,117845,72768,74415,80565,108727,91203,52110,110287,141382,343157
39082,1274384,44469,27952,119871,73391,74736,81680,109166,92038,52723,111565,142552,344241
39447,1300545,45221,28414,122722,74918,75675,83117,110462,93659,53387,113371,145291,354308
39813,1326775,46153,28800,126651,77025,77094,84743,112158,94850,53945,116111,148116,361129
40178,1344866,46978,29210,129177,78336,78572,86020,113216,95697,54740,117834,149988,365098
40543,1371007,48065,29477,131692,79952,80381,87669,115106,96925,55718,120589,153386,372047
40908,1390124,48908,29825,133785,81317,82012,89349,117198,97537,56396,121729,156060,376008
41274,1406083,49384,30000,135709,82516,83590,90616,118462,97927,57269,122694,158001,379915
41639,1421895,49854,30273,137916,83907,84850,91264,119709,98652,57782,124229,159751,383708
42004,1443436,50526,30626,140850,85618,86617,92282,120967,99763,58333,125807,161573,390474
